Symbol,Description,Price,Price - Currency,"Price change %, 1 day",Sector,Industry,Exchange,"Price × volume (turnover), 1 day","Price × volume (turnover), 1 day - Currency","Volume, 1 day","Price change %, 1 week","Price change %, 1 month","Performance %, 3 months","Performance %, 1 year",Market capitalization,Market capitalization - Currency,Country or region of registration,"Beta, 1 year","Volume, 1 week","Average volume, 30 days","Moving average convergence divergence, 12,26, 1 week, Level","Moving average convergence divergence, 12,26, 1 week, Signal","Moving average convergence divergence, 12,26, 1 day, Level","Moving average convergence divergence, 12,26, 1 day, Signal","Exponential moving average, 10, 1 day","Exponential moving average, 20, 1 day","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Exponential moving average, 10, 1 week","Exponential moving average, 20, 1 week","Exponential moving average, 50, 1 week","Exponential moving average, 200, 1 week",Snapshot Date
SIRI,SiriusXM Holdings Inc.,30.97,USD,-4.970849953973625,Consumer services,Broadcasting,NASDAQ,240797541.39,USD,7775187,3.926174496644289,4.840893703452944,13.651376146788987,32.91845493562231,10425119127.0,USD,United States,1.2300907,23252024,4328330.133333334,2.0303475175161374,1.7868538893681247,0.6434798620659592,0.6123346842045867,30.963396904911058,30.490376271074503,29.18809626824414,25.654432454805622,29.27356498448721,27.61999052574474,25.50113170698351,33.24486471632194,2026-07-31
ARW,"Arrow Electronics, Inc.",212.85,USD,3.8545986826055167,Distribution services,Electronics distributors,NYSE,109922125.5,USD,516430,0.2732369152494389,-0.2624056979522994,9.903444002684983,64.22343954941746,10883860604.0,USD,United States,1.3481634,2254170,586993.2,18.71047520094305,20.487690506169837,-0.2020335073977435,-0.7237852699540028,210.682994474484,210.6636983844935,207.58264688710508,170.90642140577842,208.1713560464788,194.9776741103657,165.85180730830166,132.05735678535564,2026-07-31
ST,Sensata Technologies Holding plc,47.99,USD,4.326086956521744,Electronic technology,Electronic equipment/Instruments,NYSE,186818975.27,USD,3892873,4.987967621964562,0.5236698785085881,15.028763183125609,54.01155327342748,6984266077.0,USD,United States,1.2302474,12386332,1835586.7666666664,2.951606091898178,3.344176509739944,-0.1343675580845982,-0.4911086056707521,46.265438801666456,46.217947898555,46.08513122928797,40.24162250834293,46.355202544863765,44.34076988789343,39.4422717031074,37.84890165268237,2026-07-31
ITRI,"Itron, Inc.",98.85,USD,-3.400762239812376,Electronic technology,Electronic equipment/Instruments,NASDAQ,150202970.4,USD,1519504,17.371170743291376,14.23783658846642,16.362566215420824,-27.53995015393637,4328320626.0,USD,United States,1.12992,13182889,980736.1,-2.535187865509812,-4.4722653897571245,3.5696478462947425,1.676291773399338,92.41379713901264,88.88413067733248,86.41169278672623,93.82673359439336,87.0406313848492,87.92588880682905,94.8841707847701,91.88117199874736,2026-07-31
AAPL,Apple Inc.,333.43,USD,-1.407492829474553,Electronic technology,Telecommunications equipment,NASDAQ,24944668856.73,USD,74812311,0.1231157287850654,15.230163118606576,19.5711032615517,57.35623775926756,4897205151987.0,USD,United States,1.1637026,232371971,61521625.86666708,17.355006023115436,13.659392452805184,9.24065288769998,8.597491074834535,331.3100234917065,324.0885246049004,309.9382444620776,278.7601869221227,313.8971803915449,299.3485829492758,275.1448884420644,219.35966521646787,2026-07-31
LOGI,Logitech International S.A. - Registered Shares,101.57,USD,-1.378774638314401,Electronic technology,Computer peripherals,NASDAQ,192677274.3,USD,1896990,-3.9799584042352127,8.007230965546562,2.306607574536656,6.000834898768525,14333739128.81568,USD,Switzerland,1.7680271,9727794,1217382.0,1.0752130685036008,1.431589276033814,0.4351299315106018,-0.1189439402492234,104.1338769319873,103.467670942808,103.45799747937028,100.97599698862736,103.1986764184045,102.4942953672946,100.27635665499102,88.40135705565811,2026-07-31
EMR,Emerson Electric Company,148.64,USD,1.9968434776641717,Electronic technology,Electronic equipment/Instruments,NYSE,432699958.4,USD,2911060,0.4731647965391298,3.835137967167293,5.396015032262628,0.6705045716220661,83253260029.0,USD,United States,1.3660812,12087922,2782354.0,1.8488876511625565,1.3181572893944635,1.923404937633052,0.6998747103329497,145.3384087706402,143.3317711662221,141.80744378705575,138.54981540187993,143.24403005910494,141.72254207101287,137.62345515248128,117.41749495910832,2026-07-31
AXON,"Axon Enterprise, Inc.",525.3,USD,-1.1106927710843544,Electronic technology,Aerospace & defense,NASDAQ,325385528.4,USD,619428,4.570609547318545,-6.298496280836956,28.510617477248253,-27.916678101929367,42340272321.99999,USD,United States,1.2363596,3262487,1027489.5666666668,-0.3911877266338592,-18.62352304884488,6.520299586664237,11.274171635274328,525.7825663819074,524.33742012221,499.7355854605827,516.2242892787096,498.0698647203161,487.965733448809,520.8312048770312,432.9113040799342,2026-07-31
NTAP,"NetApp, Inc.",173.98,USD,0.4329504127460601,Electronic technology,Computer peripherals,NASDAQ,347323407.18,USD,1996341,3.720042923572183,12.419229775135694,56.82350820263205,64.1320754716981,34140837141.000008,USD,United States,1.2170334,10267413,2894150.6666666665,16.330911646840406,13.268923214676771,4.130169088335606,3.697540688412949,169.49708006542517,166.4659064051569,156.20922633403603,128.5548376374786,158.74072800447513,144.8134913496777,127.09316775464674,104.47780233092207,2026-07-31
VSAT,"ViaSat, Inc.",77.6,USD,10.557059410172384,Electronic technology,Telecommunications equipment,NASDAQ,170779829.6,USD,2200771,8.22873082287307,-13.59536799910924,16.481537075953153,427.5322909585315,10689824875.000002,USD,United States,2.897251,7585703,2684712.4,7.92995943994643,8.288997833599028,0.7881212492764149,0.6445442979719719,73.50032975089226,72.90406532917906,70.59130367890579,54.29992720865335,71.60173420543236,65.99997579233607,51.61622750783648,35.36831105344519,2026-07-31
